line,eqn,type
"It's a 100-foot fence, and Ben whitewashed 10 feet, so there are 100 - 10 = 90 feet left after Ben is done.",100-10=90,correct
Each day it needs to consume 7/7=1 gallon of blood,7/7=1,correct
Shelly bought 12/2=6 pretzels,12/2=6,correct
"Since Angelina is 35 years old right now, and she is four years older than Justin, it means Justin is 35-4 = 31 years old.",35-4=31,correct
"Therefore, the total number of yards he can cut in a week is 12 x 7 = 84 yards.",12*7=84,correct
Then find the fuel increase caused by the people by multiplying their number by the fuel increase per person: 35 people * 3 gallons/mile/person = 105 gallons/mile,35*3=105,correct
"Therefore, if 500 customers per month spend $4 on lettuce and tomatoes, then the store will receive $4*500=$2000 per month on sales of lettuce and tomatoes.",4*500=2000,correct
So the total height is 500+1000=1500 feet,500+1000=1500,correct
"So, She was left with $80 - $71 = $9 on her savings.",80-71=9,correct
"The total cost of the chicken, bacon, and vegetables is $20 + $10 + $10 = $40",20+10+10=40,correct
"So, 100 - 40 = 60 pens were left.",100-40=60,correct
The 6 gifts will use 6 x 2 = 12 yards of ribbon.,6*2=12,correct
"Then, subtract the number Brenda throws away after the fresh count, which is 150 peaches - 15 peaches = 135 peaches.",150-15=135,correct
"First, add the number of kosher meals to the number of vegan meals: 7 meals + 8 meals = 15 meals",7+8=15,correct
10/2 = 5 kids went rafting and tubing.,10/2=5,correct
The two of them gave 6+12 = 18 commencement addresses in total.,6+12=18,correct
"Since Bill had the fries in the oven for 45 seconds so far, that means they need to stay in the oven for another 300-45= 255 seconds.",300-45=255,correct
"In hours, this is equal to 180/60 = 3 hours a week.",180/60=3,correct
"First, we need to determine how many slices of bread Jimmy will use to make the sandwiches. We determine this by performing 8*2=16 slices of bread needed.",8*2=16,correct
"If he chooses the third, he'd earn 50 + 2*40 + 3*30 = $220.",50+2*40+3*30=220,correct
Bucket B has 3 more fruits than C (which has 9 fruits) for a total of 9+3 = 12 fruits,3+9=12,correct
The clay pot costs $20 + $9 = $29.,20+9=29,correct
"If Tom could triple his reading speed, he could read 12 * 3 = 36 pages of a book in one hour.",12*3=36,correct
"Each dress takes 4 square meters of fabric to make, so the number of dresses she can make will be 56/4 = 14 dresses.",56/4=14,correct
Betty has the heaviest pumpkin at 108 pounds while Jessica's is the lowest at 27 pounds so the difference is 108-27 =81 pounds,108-27=81,correct
The number of customers who were served coffee in the restaurant is 3/5*25 = 15,3/5*25=15,correct
Mary carried 4 + 3 = 7 buckets of sand.,4+3=7,correct
If Christopher has $16.00 and Karen has $8.00 then Christopher has 16-8 = $8.00 more than Karen,16-8=8.00,correct
That means he needs to wait 18+21=39 days,18+21=39,correct
"Together with Zion, they all built triangular-shaped houses of cards with a combined area of 800+400=1200 square centimeters.",800+400=1200,correct
"On the bus, the number of Dutch people was 3/5 of the total number, a total of 3/5*90 = 54 people.",3/5*90=54,correct
The area of the rectangle is 4 inches * 11 inches = 44 square inches.,4*11=44,correct
Then add the waffles' cook time to find the total cook time: 18 minutes + 10 minutes = 28 minutes,18+10=28,correct
"She's made 3 dozen deviled eggs, 2 dozen pigs in a blanket and 2 dozen kebabs so she's made 3+2+2 = 7 dozen appetizers",3+2+2=7,correct
We have 28 legs and 9 legs as well a 1 leg on a table and 2 on a rocking chair for a total of 28+9+1+2 = 40 legs,28+9+1+2=40,correct
Then do the same for the iced teas: 2 iced teas x $3/tea = $6,2*3=6,correct
Then multiply that number by 25% to find the number of babies: 8 panda couples * 25% = 2 panda babies,8*25*.01=2,correct
"Each screen shows movies all day, which means each screen shows 8 hours/day / 2 hours per movie = 4 movies/day.",8/2=4,correct
"So, the porcelain vase is now $200 - $50 = $150.",200-50=150,correct
"If he walks 3 miles everyday, for 30 days then he walks 3*30 = 90 miles in 30 days",3*30=90,correct
"After giving away a third of his CDs, Tyler has 21 - 7 = 14 CDs",21-7=14,correct
The remaining number of fish is now 150 - 50 = 100,150-50=100,correct
That means he paid $60 * 2 = $120,60*2=120,correct
Kelly gives Bingley 16 / 4 = 4 bracelets,16/4=4,correct
She spends $16 on the beans per week because 2 x 8 = 16,16=16,correct
The total for the three days is 150+100+50 = 300 tins.,150+100+50=300,correct
The meals cost 16+14=$30,16+14=30,correct
Ron eats 20% fewer pickle slices than Tammy who eats 30 pickle slices so that's .20*30 = 6 fewer slices than Tammy,20*.01*30=6,correct
She needs 100 - 60 = 40 more cupcakes.,100-60=40,correct
There are 74-14 = 60 apples left after Ricki removes some.,74-14=60,correct
"One-third of the classrooms have 30 desks, so there are 1/3 * 15 = 5 classrooms like that.",1/3*15=5,correct
The bed cost 75*10=$750,75*10=750,correct
He pays 20*50=$1000 per semester,20*50=1000,correct
"Since each chair holds 5 people, 5*120 = 600 people must sit in all of the chairs for the church to be full.",5*120=600,correct
So he got 12+20=32 hours.,12+20=32,correct
The total number of tickets needed is 5 tickets + 4 tickets + 4 tickets = 13 tickets.,5+4+4=13,correct
"Thus, they have 24 + 72 + 12 = 108 popsicle sticks.",24+72+12=108,correct
"Thus, he has 20 - 18 = 2 green marbles.",20-18=2,correct
The total number of cars that parked in the theater during the play is 700-400 = 300 cars,700-400=300,correct
The number of tails than he got more than head is 146-65=81,146-65=81,correct
10 cows on the boat - 6 drowned = 4 cows made it to the shore.,10-6=4,correct
They'll need to make an estimated 0.5 * 53 = 26.5 omelets for small children.,0.5*53=26.5,correct
Four puppies in the camp eat 18*4=72 pounds of food every day.,18*4=72,correct
"From the ratios, the fraction representing the number of dogs is 10/27, and this represents 10/27*189 = 70 dogs.",10/27*189=70,correct
32 meatballs divided amongst 8 family members is 32/8=4 meatballs per family member.,32/8=4,correct
Randy spent 20/4=5 dollars on the ice cream cone.,20/4=5,correct
So Andy is 7-6=1 year older than Rahim.,7-6=1,correct
"This means, that during one hour there can be 4 * 5 = 20 different actors in the show.",4*5=20,correct
"Over 30 days, Kurt saves 25.50-13.50 = $12.00 a month with his new refrigerator",25.50-13.50=12.00,correct
His total expenditure so far is $50+$35+$15 = $100,50+35+15=100,correct
The cows produced 2160 liters of milk over 5 weeks. So we have 2160 liters / 18 liters/cow = 120 cows.,2160/18=120,correct
"After half an hour, the number of balloons that had blown up is 1/5*200 = 40",1/5*200=40,correct
"If each round is awarded 10 points, then the number of rounds will be 80/10 = 8 rounds.",80/10=8,correct
"If for every card he used 75 toothpicks, then a box of toothpicks would have enough toothpicks for 450/75=6 cards.",450/75=6,correct
"On Friday, he ran for 60 + 10 = 70 minutes.",60+10=70,correct
"If she remained with $900, she initially had $900+$800 = $1700",900+800=1700,correct
Randy spends 2*4=8 dollars every month.,2*4=8,correct
Her brother bought 6/3=2 paperbacks,6/3=2,correct
He exceeded the recommended intake of 150 calories by 100% for a total consumption of 150+(150(100/100)) = $300,150+(150*100/100)=300,correct
"The factory creates 300 gummy bears a minute, which means it produces 300 / 50 = 6 packets of gummy bears per minute.",300/50=6,correct
"So together, Greg and Earl will have $28 + $102 = $130.",28+102=130,correct
That means he gives away 80*2=160 toothbrushes a week,80*2=160,correct
Each squirrel still needs to collect another 130 - 115 = 15 acorns.,130-115=15,correct
There are 10 - 6 = 4 students who like burgers only.,10-6=4,correct
"On a weekday, the shop produces 10 coffee cups per hour * 5 hours per weekday = 50 coffee cups.",10*5=50,correct
"Thus, on that day, it took Matthew 1+3+1=5 hours to make the cakes.",1+3+1=5,correct
Peter is 3 years older than Wayne who is 37 so Peter is 37+3 = 40 years old,37+3=40,correct
So he paid 20-3=$17 per pin,20-3=17,correct
Then add the cost of the black-and-white cartridge to find the total cost: $96 + $27 = $123,96+27=123,correct
"In the final verse, 30 - 15 - 5 = 10 singers joined for the whole choir to sing together.",30-15-5=10,correct
Each of them will have 672/4 = 168 strawberries.,672/4=168,correct
Santino has 3 * 20 = 60 mango fruits,3*20=60,correct
He kept 60/2=30 after giving half to his brother,60/2=30,correct
"In total, the bicycle has 20+40=60 spokes.",20+40=60,correct
He used 45 nuts - 6 left over = 39 nuts for the project.,45-6=39,correct
So that means Bobby pays 480+250=$730,480+250=730,correct
So Jack spent $24 + $5 = $29 on water and cheese.,24+5=29,correct
Julian is 40 - 20 = 20 years old,40-20=20,correct
Dave has 21+2 = 23 pets in total.,21+2=23,correct
It will take her $560 / $80 = 7 weeks to earn enough money.,560/80=7,correct
Lavinia's daughter is 12 - 10 = 2 years old,12-10=2,correct
The number of beads used for the bracelets is 5 * 10 = 50 beads,5*10=50,correct
The total square footage of the house is 1200 + 600 = 1800 square feet,1200+600=1800,correct
Kim got 6 points/round x 2 round = 12 points in the easy round.,6*2=12,correct
"Since the perimeter of the square is 20 cm shorter than the height of the computer screen, the height of the computer screen is 20+80 = 100cm.",20+80=100,correct
The final length is 35 feet because 41 - 6 = 35,41-6=35,correct
It takes him 5 hours to build one rocking chair so over 80 hours he builds 80/5 = 16 rocking chairs,80/5=16,correct
First find the number of nuts the two busy squirrels gather per day: 2 squirrels * 30 nuts/day/squirrel = 60 nuts/day,2*30=60,correct
Gillian spent 300*3+150 = 1050 dollars at the farmer's market.,300*3+150=1050,correct
The total number of straws that the piglets shared is 300-180 = 120,300-180=120,correct
"Therefore, she will be able to collect $35 + $56 + $28 = $119 after 7 days.",35+56+28=119,correct
"Since there are 2 sets of 30 minutes in an hour, then in 8 hours there are 8 x 2 = 16 sets of 30 minutes.",8*2=16,correct
They received 20 / 4 = 5 pallets of tissues.,20/4=5,correct
He gets 12*5000=$60000 for the first 12 hours,12*5000=60000,correct
"There are twice as many frogs as dogs in the compound, meaning there are 160/2 = 80 dogs.",160/2=80,correct
Tom can buy 1000/2=500 for half price.,1000/2=500,correct
He can therefore bake 400g / 200g = 2 loaves of bread.,400/200=2,correct
Bobbie has 18 * 3 = 54 crayons.,18*3=54,correct
The dress cost $50 minus $15 (30% off discount) so 50-15 = $35,50-15=35,correct
"In total, the first-place team scored 6 + 2 = 8 points.",6+2=8,correct
"One-tenth play both games, which means 20 * 1/10 = 2 students.",20*1/10=2,correct
So that means they get a total of 3*160=$480,3*160=480,correct
"The following week, he sold 50 x 3 = 150 kg of salmon.",50*3=150,correct
"So, the total number of children at the event is 80 - 60 = 20.",80-60=20,correct
Then went up to the 2 + 3 = 5th floor.,2+3=5,correct
The cash sales that Mr. Brandon made yesterday was $80-$32=$48,80-32=48,correct
Susannah went 6 - 4 = 2 more times a week than Camden,6-4=2,correct
"After giving $5, Lucy has $20 - $5 = $15 left.",20-5=15,correct
"Since they are adding 15 gallons every trip, to fill the 105-gallon pool, it would take 105 / 15 = 7 trips.",105/15=7,correct
During September Grace earned $378 + $99 + $90 = $567.,378+99+90=567,correct
Then multiply the number of cups of mush by the ratio of flour to mush to find the number of cups of flour: 5 cups mush * 3 cups flour/1 cup mush = 15 cups flour,5*3=15,correct
"Dean ate 6 slices, Sammy ate 4 and Frank had 3 so 6+4+3 = 13",6+4+3=13,correct
"If their current combined age is 5 times the age Josh was when they married (22), then their total combined age is 5 * 22 = 110 years",5*22=110,correct
The tip came out to 110*.3=$33,110*.3=33,correct
"If the dog eats two eyes and Oomyapeck eats 22 eyes, then there are a total of 2+22=24 eyes.",2+22=24,correct
"Therefore, to fill a 60-gallon pool, it will take 60/1.5=40 minutes.",60/1.5=40,correct
The cost of the field trip amounted to $7 x 20 = $140.,7*20=140,correct
So he pays 30/6=$5,30/6=5,correct
"Hence, he was left with $1375 - $230 = $1145 from his earnings.",1145=1145,correct
"After the 50% discount, the t-shirt cost 20 * 0.5 = $10.",20*0.5=10,correct
When Jayson is 10 his dad is 10 x 4 = 40 years old.,10*4=40,correct
There are 25 male alligators because 50 / 2 = 25,50/2=25,correct
Betty's grandparents gave her 15 * 2 = $30.,15*2=30,correct
He writes each friend 3*2=6 pages a week,3*2=6,correct
He eats 48 pieces because 32 + 16 = 48,32+16=48,correct
He earned $60 mowing lawns because 4 x 15 = 60,4*15=60,correct
A pound of cream cheese cost $10 / 2 = $5.,10/2=5,correct
"There are 4 letters in Jamie's last name, so Bobbie's name is 4*2 +2 = 10 letters long.",4*2+2=10,correct
Then multiply that amount by 1000 ml/liter to find the number of ml of salt Jack gets: .4 liters * 1000 ml/liter = 400 ml,.4*1000=400,correct
Tommy earned $30 * 1/2 = $15.,30*1/2=15,correct
The fourth earthquake caused 16 * 2 = 32 buildings to collapse.,16*2=32,correct
The four bags of Reese's cost $9 x 4 = $36.,9*4=36,correct
There are 24 - 10 =14 cans left,24-10=14,correct
"On Tuesday, Shawna was short of 30 - 19 = 11 situps",30-19=11,correct
"Since Tara wants to pay $20 more for the down payment, her total down payment will be $200 + $20 = $220.",200+20=220,correct
Harry has 38/2 = 19 apples.,38/2=19,correct
"In 4 months, he will lose 3 x 4 = 12 kilograms.",3*4=12,correct
"One floor is unavailable, so Hans could be checked into 100 rooms - 10 rooms = 90 available rooms.",100-10=90,correct
"With Friday's increase in borrowings, during one week Krystian borrows 200 + 16 = 216 books.",200+16=216,correct
"Half of the books on the bottom section of the cart are mystery books, which means they are the same as the number of Western novels and biographies put together. So there are 5 + 6 = 11 mystery novels.",5+6=11,correct
"If Hector had 6 gumballs remaining, he originally purchased 4+8+27+6=45 gumballs.",4+8+27+6=45,correct
It made 36 / 4 = 9 sales in the jewelry section.,36/4=9,correct
Marvin sold 35 candy bars at $2 each so 35 * 2 = $70 worth of candy,35*2=70,correct
"On their first day to the grand canyon, the family took half as many photos as the ones they have in the gallery, meaning they took 1/2*400 = 200 photos.",400/2=200,correct
"Adding those marbles to the 20 she had before, she ends up with 40 marbles + 20 marbles = 60 marbles",40+20=60,correct
"Working at the rate of 250 blocks per person, the eight people filled the truck with 250*8 = 2000 blocks in one hour.",250*8=2000,correct
John has 5 more than 20 roommates which is 20+5 = 25 roommates,5+20=25,correct
Loraine made 12 / 2 = 6 small animals.,12/2=6,correct
The three of them can clean their room in 22 + 25 + 21 = 68 minutes in all.,22+25+21=68,correct
So he had to pay 300-225=$75,300-225=75,correct
The juice and the sandwich in total were a cost of 4 + 8 = $12.,4+8=12,correct
Mario's $18 cut on Monday would have been 50% more expensive on Sunday or $18*50% = $9 more expensive,18*50*.01=9,correct
On Thursday Buddy has a total of 27+5 = 32 baseball cards.,27+5=32,correct
"If Mel is three years younger than Katherine, then when Katherine is 24 years old, Mel will be 24-3=21 years old.",24-3=21,correct
